name;area_name;url;salary_from;salary_to;salary_cur;requirement;responsibility;employer;api
JAVA-разработчик (стажер);Ростов-на-Дону;https://hh.ru/vacancy/86539902;;50000;RUR;Самый заботливый HR-отдел.;Активное участие в различных ивентах: хакатоны, митапы. Спикерам от банка - лучший мерч.;Центр-инвест, коммерческий банк;HH
Начинающий (Junior) Программист;Москва;https://hh.ru/vacancy/86654651;35000;35000;RUR;Базовые знания одного из языков программирования. Приветствуются знания С++, <highlighttext>Java</highlighttext>, QT, С#, SQL. Желание обучаться. Знание алгоритмов и структур данных.;Разработка и сопровождение специализированных WMS систем для предприятий. Участие в обследовании объектов, разработке ТЗ. Разработка приложений на Windows CE, Android. ;Ай-Технолоджис Групп;HH
Разработчик Java (Junior);Москва;https://hh.ru/vacancy/86689585;0;0;RUR;Базовые знания <highlighttext>Java</highlighttext> 11+ (core). Опыт работы со Spring Framework. Знание средств коллективной разработки и сборки проектов (Git, Maven...;Разрабатывать и поддерживать приложения на <highlighttext>Java</highlighttext>. Автоматизировать процессы с использованием Camunda. Участвовать в написании unit-тестов. Участвовать в оптимизации приложения.;Лига Цифровой Экономики;HH
Junior Java разработчик;Москва;https://hh.ru/vacancy/86735437;0;0;RUR;Уверенные знания <highlighttext>Java</highlighttext> 17, шаблонов программирования. Spring Framework (Core, Data). Опыт работы с XML/XSD. Опыт работы с СУБД Oracle...;Развитие платформы принятия решений. Написание кода сервисов. Контроль качества кода (код ревью, покрытие тестами, устранение тех. долга). Участие в проработке...;ОТП Банк, АО (OTP bank);HH
Java Junior (2018);Минск;https://hh.ru/vacancy/86720487;0;0;RUR;...внедрения систем с использованием <highlighttext>Java</highlighttext> от 1 года. Опыт работы со всеми перечисленными технологиями по направлению <highlighttext>Java</highlighttext>: Spring (Core, Web...;;Bell Integrator;HH
Junior Java-разработчик;Волгоград;https://hh.ru/vacancy/86571374;50000;;RUR;Понимание работы web-приложений. Наличие опыта работы с реляционными СУБД. Знания <highlighttext>Java</highlighttext> Core (Collections, Concurrency). Навыки работы с Spring Framework...;Сопровождение существующих систем. Разработка новых модулей.;Аксиоматика;HH
Программист;Алматы;https://hh.ru/vacancy/86696527;0;0;RUR;Навыки работы с с пакетом программ MS Office (Excel, Word, Outlook) и Bitrix. - Навыки программирования (Postgre Sql и <highlighttext>Java</highlighttext>). - ;Обработка заявок, поддержка учетных записей в системе Jira Confluence. - Мониторинг системы сервера. - Работа с запросами для заявок вида отображения поиска...;Аврора Холдинг;HH
Junior Java разработчик;Санкт-Петербург;https://hh.ru/vacancy/86731264;50000;;RUR;Профильное высшее образование (или студенты последний курсов). Хорошее знание HTML/CSS. Язык <highlighttext>Java</highlighttext> на хорошем уровне (понимание принципов ООП, параллельного...;Поддержка и доработка существующих приложений на <highlighttext>Java</highlighttext>. Участие в проектировании архитектуры систем и баз данных. Участие в разработке новых продуктов. ;Когорта-М;HH
Team Lead QA;Москва;https://hh.ru/vacancy/86656103;;460000;RUR;Владение инструментами генерации тестовых данных и перехвата состояний тестируемой системы на разных этапах теста. Технологический стек: <highlighttext>Java</highlighttext>, PostgreSQL, Kafka, GIT...;Координация работ тестирования в функциональных командах. Унификация технологического стека тестирования. Построение процессов тестирования микросервисных Backend и FrontEnd систем. Обучение коллектива.;SberTech;HH
Junior Java Developer;Омск;https://hh.ru/vacancy/86435502;0;0;RUR;Опыт прохождения стажировок/школ/курсов в ИТ- компаниях или онлайн по направлению <highlighttext>Java</highlighttext>. Опыт работы с <highlighttext>Java</highlighttext>. Опыт работы с...;Индивидуальный подход и планы развития, исходя из интересов сотрудника и целей компании.;Прайм Аспект;HH
Программист Java;Москва;https://hh.ru/vacancy/86724367;0;0;RUR;Опыт разработки на <highlighttext>Java</highlighttext> от 2 лет. Знание языков программирования и технологий: <highlighttext>Java</highlighttext>, PL/SQL, Hibernate. Опыт работа с СУБД...;Участие в работе проектных групп. Выполнение работы по проектированию и разработке АС. Выполнение работы по проектированию отдельных сервисов. ;Sputnik;HH
Java-разработчик (Стажер);Москва;https://hh.ru/vacancy/86416965;0;0;RUR;Уверенное понимание устройства коллекций, лямбда выражений. Практический опыт использования Stream API, Generics, Reflection API. Понимание принципов SOLID, DRY, KISS. ;Возможность принять участие в создании перспективных и масштабных продуктов, нацеленных на улучшение и автоматизацию бизнес-процессов. Https://docs.google.com/document/d...;Т1 Консалтинг;HH
Web-программист - стажер;Алматы;https://hh.ru/vacancy/85628220;0;0;RUR;Основы программирования HTML&CSS. Базовые понимания в javascript. Теорию работы больших систем. Как поменять значения двух переменных не используя третью...;Разрабатывать фронтенд веб приложений на ReactJs, React Native и VueJs. Понимать, как устроен RESTfull API, его правильное проектирование и разработка. ;Autodata;HH
Стажер-тестировщик;Казань;https://hh.ru/vacancy/86397259;0;0;RUR;SoapUI, Postman, Jmeter, DBeaver, MobaXterm, OpenShift, Jira, Kibana. Будет плюсом: Опыт в автоматизации на <highlighttext>Java</highlighttext> (JUnit5).;Стажировка 3 месяца в офисном формате в г. Иннополис, далее работа в гибридном формате (офис в г. Казань, ул. ;Ак Барс Банк;HH
DevOps junior;Москва;https://hh.ru/vacancy/86640239;200000;290000;RUR;Использовали на практике стек ELK. Любите программировать в целом и хорошо знаете <highlighttext>Java</highlighttext> и Groovy в частности (приветствуется знание Ruby...;Предстоит работа с системой, обеспечивающей автоматизацию операций по обслуживанию клиентов - физических лиц в отделениях и на Web-сайте Банка. ;CORE;HH
Frontend-разработчик;Воронеж;https://hh.ru/vacancy/86685070;0;0;RUR;Знание HTML5 / CSS3. Уверенное знание JS(ES6). Опыт разработки с помощью Vue 2/3, Nuxt. Понимание SSR. ;Разработка на Vue, Nuxt. Временная оценка задач. Code Review. Участие в проектировании взаимодействия пользовательского интерфейса. Работа в паре с backend...;Веб-Культ;HH
Middle QA Engineer;Минск;https://hh.ru/vacancy/86719193;0;0;RUR;Хорошие навыки Browser DevTools. Знание приниципов ООП. Навык или желание изучить <highlighttext>Java</highlighttext> 8+ for automation QA (мы готовы обучить). ;Заниматься написанием чек-листов и полноценных тестовых сценариев, описывать кейсы воспроизведения обнаруженных ошибок. Идентифицировать дефекты и проблемные места и регистрировать...;ЛЕЙМИ;HH
