name;area_name;url;salary_from;salary_to;salary_cur;requirement;responsibility;employer;api
Стажер-тестировщик QA;Москва;https://hh.ru/vacancy/86626961;0;0;RUR;Интерес к процессу тестирования и обеспечению качества. Желание развиваться в данной профессиональной области. Базовое понимание основных этапов и принципов тестирования...;Участие в разработке EdTech платформы. Большое количество знаний. Ручное и Авто-тестирование.;HardQode;HH
Стажер-программист Python;Москва;https://hh.ru/vacancy/86400360;0;0;RUR;Базовые знания <highlighttext>Python</highlighttext> (>3).;Принимать участие в разработке EdTech платформы. Делал какие-то pet-проекты.;HardQode;HH
Junior разработчик Python/Django;Москва;https://hh.ru/vacancy/86396944;60000;80000;RUR;Умение писать на <highlighttext>Python</highlighttext> (>3). Знание django/drf. Умение работать с git или другой системой контроля версий. Умение написать Dockerfile...;Принимать участие в разработке EdTech платформы. Участвовать в проектировании новых возможностей наших продуктов.;HardQode;HH
Junior Программист в Технический блок;Алматы;https://hh.ru/vacancy/86680430;0;0;RUR;Высшее образование в сфере IT или телекоммуникаций. Опыт в сфере телекоммуникаций более 2-х лет. Опыт работы с PHP7...;Работа в команде Программистов и выполнение отдельных задач в рамках глобальных проектов. Команда будет заниматься разработкой систем и приложений для...;Beeline, ТМ;HH
Начинающий аналитик данных;Москва;https://hh.ru/vacancy/86559948;35000;;RUR;Образование в профильной или смежной области. Знание <highlighttext>Python</highlighttext>. Стремления к профессиональному развитию.. Опыт работы не обязателен.;Мы помогаем брендам иметь безупречный имидж уже 9 лет. Основные компетенции агентства: репутационный менеджмент (ORM), управление поисковой выдачи (SERM), услуги...;Topface Media;HH
Data Scientist (стажер), удаленно;Москва;https://hh.ru/vacancy/86571284;;15000;RUR;Сильное и стойкое желание развиваться как Data Scientist. Базовые знания <highlighttext>Python</highlighttext>. Базовые знания алгоритмов машинного обучения. Хорошо развитое логическое мышление...;Проводить ad-hoc аналитику (отвечать на вопросы: как, что и почему повлияло на результат в определенный момент времени). ;Дунаев Михаил Алексеевич;HH
Стажер Data Scientist;Алматы;https://hh.ru/vacancy/86556886;0;0;RUR;Опыт работы со стеком: <highlighttext>Python</highlighttext>, Pandas, Numpy, PostgreSQL. - Хорошие коммуникативные навыки.;Работа с DWH. - Техническое сопровождение готовых решений, документирование, отчетность.;Grand era;HH
Выездной инженер;Москва;https://hh.ru/vacancy/86662928;40000;;RUR;3. Навыки программирования приветствуются (предпочтительно C#, С++, <highlighttext>Python</highlighttext>). 4. Опыт работы с настройкой периферийных устройств (Банковский терминал, Фискальный регистратор, Считыватель...;1. Участие в сборе и подготовке данных для разработки решений в сфере искусственного интеллекта по распознаванию объектов. 2. ;Смарт Мил Сервис;HH
Стажер-разработчик;Москва;https://hh.ru/vacancy/86584351;0;0;RUR;Приветствуется опыт Visual Basic, JavaScript, <highlighttext>Python</highlighttext>. Системное и аналитическое мышление, навыки структурирования и планирования своей работы. Грамотность и навыки написания...;Наша команда занимается поддержкой и развитием корпоративной сети передачи данных в центрах обработки данных и на территориях ключевых объектов АО...;РСХБ-Интех;HH
Python developer (Junior/Middle);Санкт-Петербург;https://hh.ru/vacancy/86210494;0;0;RUR;Опыт работы с <highlighttext>Python</highlighttext> 3 - от 2х лет. Знание ООП, архитектурные паттерны. Опыт работы с Flask, Django. ;Работать с внутренней автоматизацией и с внутренними задачами компании. Внедрение сервисов для PM-ов, бухгалтерии, back-офиса. Работа с DWH...;Surf;HH
Frontend-разработчик (удаленно);Тольятти;https://hh.ru/vacancy/86597491;70000;100000;RUR;Опыт серверной разработки (например Nodejs, PHP, <highlighttext>Python</highlighttext>). Опыт работы с Next JS и понимание что такое Server-Side Rendering. ;Разработка и поддержка клиентских приложений с использованием React и Typescript. Верстка и стилизация пользовательского интерфейса. Интеграция с бэкенд-сервисами через...;Juzt Studio;HH
Стажер-программист Python;Москва;https://hh.ru/vacancy/86458967;60000;;RUR;Способность быстро разобраться в неизвестном предмете (протоколе, языке программирования, и т.д.). Опыт программирования на <highlighttext>Python</highlighttext> (не обязательно промышленный). ;Исследования, разработка прототипов программ (на <highlighttext>Python</highlighttext>) в сфере взаимодействия различного оборудования между собой по различным цифровым протоколам, анализ и визуализация...;Автономные беспилотные системы;HH
Python-разработчик;Москва;https://hh.ru/vacancy/85252162;;40000;RUR;Отличные знания <highlighttext>Python</highlighttext> и SQL. Умение писать поддерживаемый и тестируемый код. Умение декомпозировать задачи, оценивать их и выдерживать сроки. ;Разработка и поддержка проектов на django и fastapi. Реализация задач назначаемых архитектором системы. Работа в микросервисной парадигме. Покрытие кода функциональными...;Битапл;HH
Разработчик Python Junior;Воронеж;https://hh.ru/vacancy/86372853;0;0;RUR;Уверенное знание <highlighttext>python</highlighttext>3. Базовые навыки администрирования linux. Опыт работы с одним или нескольким <highlighttext>python</highlighttext> web framework: Django, flask, FastAPI...;Разработка сервисных приложений на языке <highlighttext>python</highlighttext> 3.8+. Реализация интерфейсов по протоколам HTTP/HTTPS. Реализация API. Реализация подключения и...;Нумеди;HH
